speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
20.569371335877,2.53072268673565,8.75,-4.7909600402697,1.78106196948382,1,4,957.227229356012,36.04,3.61267126191523,5.55476882949443,7.58848200750605,0,98.7998238778362,0,-6.81419389227447,1,32.3179852934829,1,1.2,-40.2338973065976,-7.95821000635914,-0.658143764899408,7.00278080002888,4.94481501222287,0,2948.55476882949,
20.8498056024406,2.57447706237037,9,-5.03194384377303,1.78035696427524,1,4,970.277667875297,36.04,3.66192492159824,5.70726414288289,7.7968089383646,0,98.7668753898813,0,-6.66596812880878,1,31.962934500976,1,1.2,-42.3582801169139,-8.24784695414809,-0.693204046591311,7.24993115087816,4.98235670457511,0,2948.70726414288,
21.1263584780097,2.61764293245861,9.25,-5.28380885517101,1.77965237481815,1,4,983.147479914213,36.04,3.7104968788863,5.85967113085361,8.00501520608416,0,98.7339459857192,0,-6.51774236534308,1,31.6039683546617,1,1.2,-44.5303938626032,-8.54906744664281,-0.730756408861655,7.49830260018903,5.01071090703903,0,2948.85967113085,
21.3991831653693,2.66024374323898,9.5,-5.54731613745976,1.77894819345988,1,4,995.843794999237,36.04,3.75841404132509,6.01199132089148,8.21310289739274,0,98.701035335318,0,-6.36951660187739,1,31.2409518672234,1,1.2,-46.7524316921124,-9.05586260468625,-1.24578532365845,7.74756953614243,5.02963104223291,0,2949.01199132089,
21.6684229701814,2.70230142334036,9.75,-5.82329917548497,1.77824441314285,1,4,1008.37328207905,36.04,3.80570157819365,6.1642261249188,8.4210739411459,0,98.6681431336145,0,-6.2212908384117,1,30.8737421433076,1,1.2,-49.0267413871649,-9.04601459022494,0.0245206502193601,7.99738184383666,5.03887230596309,0,2949.16422612492,
21.9342121758157,2.74383651803731,10,-6.11267272516885,1.77754102734341,1,4,1020.74219023611,36.04,3.85238307415399,6.31637685086732,8.62893012413568,0,98.635269098014,0,-6.07306507494601,1,30.5021877156621,1,1.2,-51.500222836179,-9.07278600447282,-0.0674970399056676,8.24736326872372,5.03819279851431,0,2949.31637685087,
22.1966768210518,2.7848683085929,10.25,-5.6500471947854,1.77683803001838,1,4,1032.95638487827,36.04,3.89848066584166,6.46844471283483,8.83667310496561,0,98.6024129661958,0,-6.72850904680453,1,32.1132110804286,1,1.2,-53.7330547320578,-8.4758194775934,1.52355497196129,8.49708572920759,5.02672532893777,0,2949.46844471283,
22.455935393531,2.82541491866682,10.5,-5.21785614940053,1.77613541555815,1,4,1045.02138000956,36.04,3.94401516365916,6.62043084002926,9.04430442626948,0,98.5695744941805,0,-7.45701809360905,1,33.8154444721327,1,1.2,-55.7394006638449,-8.05183374518979,1.09502821544369,8.74617447477111,5.00553705125461,0,2949.62043084003,
22.712099449863,2.86549340946348,10.75,-4.86253687709704,1.77543317874532,1,4,1056.94236708784,36.04,3.98900616068744,6.77233628467016,9.25182552550568,0,98.5367534546231,0,-8.18552714041358,1,35.4375811106341,1,1.2,-57.4912681263358,-7.55604320764548,1.29543459971332,8.99437068921683,4.97564088138356,0,2949.77233628467,
22.9652741716618,2.90511986504443,11,-4.96043163720001,1.77473131471823,1,4,1068.72424090076,36.04,4.03347213034451,6.92416202899019,9.45923774452211,0,98.5039496353003,0,-8.203870550502,1,35.4774886282307,1,1.2,-59.2584349768756,-7.40742799968521,0.39274136322556,9.24153697987057,4.93817104948062,0,2949.92416202899,
23.2155588654302,2.94430946902096,11.25,-4.94622597874485,1.77402981893855,1,4,1080.37162282868,36.04,4.0774305141818,7.07590899145716,9.66654233805622,0,98.4711628377658,0,-8.407741101004,1,35.918106698255,1,1.2,-60.9822626520077,-7.29280135211195,0.306297416816096,9.48743067877971,4.89309684318382,0,2950.07590899146,
23.4630474130767,2.98307657366905,11.5,-4.93263974782158,1.7733286871626,1,4,1091.88888181014,36.04,4.12089780101016,7.22757803231843,9.87374048130933,0,98.4383928761525,0,-8.611611651506,1,36.3535054641691,1,1.2,-62.6648252491899,-7.19198148566513,0.272339959905374,9.7318575973271,4.84064598842753,0,2950.22757803232,
